ID,Smiles,Standard_Type,Standard_Relation,Standard_Units,Standard_Value,pIC50
CHEMBL589390,Cc1ccc2c(c1)c1c(n2CCc2ccc(C)nc2)CCN(C)C1,EC50,=,nM,25000000,0.602059991
CHEMBL5092830,O=C1N[C@@H](Cc2ccc(OCCCN3CCCCC3)cc2)C(=O)N[C@H]1Cc1ccccc1,Kd,=,nM,12000000,0.920818754
CHEMBL5207452,CC(C)(NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O,Kd,=,nM,5740000,1.241088108
CHEMBL4162421,O=C(CCc1ccccc1)OCCc1ccccc1,EC50,=,nM,4536000,1.343326954
CHEMBL5077020,O=C1CN(Cc2ccc(OCCCN3CCCCC3)cc2)C(=O)CN1,Kd,=,nM,1547000,1.810509686
CHEMBL5195545,CCCCN(CCCC)c1ccc2cc(/C=C/c3c[n+](C)cc4ccccc34)ccc2c1.[I-],Kd,=,nM,1109000,1.955068454
CHEMBL5179677,CCCCN(CCCC)c1ccc2cc(/C=C/c3cc[n+](CCO)c4ccccc34)ccc2c1.[Cl-],Kd,=,nM,1086000,1.964170175
CHEMBL493921,O=C(/C=C/c1ccccc1)OCCc1ccccc1,EC50,=,nM,1040000,1.982966661
CHEMBL5179677,CCCCN(CCCC)c1ccc2cc(/C=C/c3cc[n+](CCO)c4ccccc34)ccc2c1.[Cl-],Kd,=,nM,847500,2.071860293
CHEMBL3692701,CN1C(=O)[C@@H](NCC(=O)Nc2ccc3c(c2)C[C@H]2CC[C@@H](C3)[C@H]2NS(=O)(=O)c2ccc(Cl)s2)N=C(c2ccccc2)c2ccccc21,IC50,=,nM,800000,2.096910013
CHEMBL5195109,C[C@@H](O)[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CO)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)O,Kd,=,nM,650000,2.187086643
CHEMBL3692697,O=C(CCc1cc(C(F)(F)F)ccc1C(F)(F)F)Nc1ccc2c(c1)C[C@H]1CC[C@@H](C2)[C@H]1NS(=O)(=O)c1ccc(Cl)s1,IC50,=,nM,630000,2.200659451
CHEMBL5179677,CCCCN(CCCC)c1ccc2cc(/C=C/c3cc[n+](CCO)c4ccccc34)ccc2c1.[Cl-],Kd,=,nM,489800,2.309981219
CHEMBL5206461,COCCOCCn1c2ccccc2c2cc(/C=C/c3cc[n+](CCO)cc3)ccc21.[Cl-],Kd,=,nM,459000,2.338187314
CHEMBL196947,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)cc3)c(F)c2)CC1,IC50,=,nM,409000,2.388276692
CHEMBL5200462,O=c1cc(/N=N/N=P(CCP(=N/N=N/c2cc(=O)oc3ccccc23)(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)c2ccccc2o1,IC50,=,nM,337770,2.471378926
CHEMBL563,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,IC50,=,nM,305000,2.515700161
CHEMBL6246,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,IC50,=,nM,300000,2.522878745
CHEMBL5175560,CCCCN(CCCC)c1ccc2cc(/C=C/c3cc[n+](C)c4ccccc34)ccc2c1.[I-],Kd,=,nM,280800,2.551602897
CHEMBL190083,C[C@@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1,IC50,=,nM,280000,2.552841969
CHEMBL3814563,CNc1cccc(CCNc2cccc(CCNc3ccccn3)n2)n1,IC50,=,nM,280000,2.552841969
CHEMBL4166279,COc1ccc(CCOC(=O)CCc2ccccc2)cc1OC,EC50,=,nM,274000,2.562249437
CHEMBL3739748,C[C@H]1CN2C[C@]34C[C@@]5(C(=O)Nc6c5ccc5c6OC=CC(C)(C)O5)C(C)(C)[C@@H]3C[C@@]2(C1)C(=O)N4C,IC50,=,nM,269500,2.56944123
CHEMBL469159,CC1(C)C=Cc2cc(C(=O)O)ccc2O1,EC50,=,nM,251500,2.599462011
CHEMBL5175560,CCCCN(CCCC)c1ccc2cc(/C=C/c3cc[n+](C)c4ccccc34)ccc2c1.[I-],Kd,=,nM,246300,2.608535588
CHEMBL5179677,CCCCN(CCCC)c1ccc2cc(/C=C/c3cc[n+](CCO)c4ccccc34)ccc2c1.[Cl-],Kd,=,nM,245925,2.60919732
CHEMBL3740785,C[C@@H]1C[C@@]23C[C@H]4C(C)(C)[C@@]5(C[C@]4(CN2C1=O)NC3=O)C(=O)Nc1c5ccc2c1C=CC(C)(C)O2,IC50,=,nM,244300,2.612076533
CHEMBL3813916,CNc1cccc(CCNc2cccc(CCN(c3ccccn3)c3ccccn3)n2)n1,IC50,=,nM,240000,2.619788758
CHEMBL32749,COc1cc(/C=C/C(=O)O)ccc1O,IC50,=,nM,226230,2.645449804
CHEMBL4643713,COC(=O)c1c(C)cc(O)c(C/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O,IC50,=,nM,221000,2.655607726
CHEMBL145,O=C(O)/C=C/c1ccc(O)c(O)c1,EC50,=,nM,216000,2.665546249
CHEMBL196322,CC(C(=O)O)c1ccc(-c2ccc3c(c2)OCO3)c(F)c1,IC50,=,nM,210000,2.677780705
CHEMBL4458591,CCN(CC)C(=O)/C=C/c1ccc(O)c(OC)c1,IC50,=,nM,205460,2.687272716
CHEMBL3741300,C[C@H]1CN2C[C@]34C[C@@]5(C(=O)Nc6c5ccc5c6C=CC(C)(C)O5)C(C)(C)[C@@H]3C[C@@]2(C1)C(=O)N4C,IC50,=,nM,203700,2.691008971
CHEMBL3692700,O=C(/C=C/c1ccc(C(F)(F)F)cc1)Nc1ccc2c(c1)C[C@H]1CC[C@@H](C2)[C@H]1NS(=O)(=O)c1ccc(Cl)s1,IC50,=,nM,200000,2.698970004
CHEMBL5175387,COCCOCCn1c2ccccc2c2cc(/C=C/c3cc[n+](C)cc3)ccc21.[I-],Kd,=,nM,194000,2.71219827
CHEMBL3740688,CN1C(=O)[C@@]23CCC(=O)N2C[C@@]12C[C@@]1(C(=O)Nc4c1ccc1c4C=CC(C)(C)O1)C(C)(C)[C@@H]2C3,IC50,=,nM,186600,2.729088361
CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,IC50,=,nM,176200,2.753994096
CHEMBL4852897,O=C(O)c1cc(S(=O)(=O)Nc2ccccc2)c(Cl)cc1NCc1ccco1,IC50,=,nM,167530,2.775907412
CHEMBL4858866,O=C(O)c1ccc(Br)cc1NCc1ccco1,IC50,=,nM,154420,2.811296452
CHEMBL4858198,OC(c1ccc(F)cc1NCc1ccco1)C(F)(F)F,IC50,=,nM,153050,2.815166666
CHEMBL4644047,CC(C)=CC(=O)C/C(C)=C/CC/C(C)=C/Cc1c(O)cc(C)c(C(=O)O)c1O,IC50,=,nM,150800,2.821598658
CHEMBL3740688,CN1C(=O)[C@@]23CCC(=O)N2C[C@@]12C[C@@]1(C(=O)Nc4c1ccc1c4C=CC(C)(C)O1)C(C)(C)[C@@H]2C3,EC50,=,nM,149600,2.825068406
CHEMBL487804,CC(C)=CCC/C(C)=C/CC/C(C)=C/Cc1c(O)cc(C)cc1O,IC50,=,nM,148800,2.827397069
CHEMBL487804,CC(C)=CCC/C(C)=C/CC/C(C)=C/Cc1c(O)cc(C)cc1O,IC50,=,nM,148800,2.827397069
CHEMBL4877793,CCNS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,IC50,=,nM,137390,2.862044876
CHEMBL4867846,CNS(=O)(=O)c1cc(C(=O)O)c(NCC2CCCO2)cc1Cl,IC50,=,nM,136390,2.865217471
CHEMBL4848389,COc1ccc(C(O)C(F)(F)F)c(NCc2cscn2)c1,IC50,=,nM,129690,2.88709351
CHEMBL4864237,O=C(O)c1ccc(F)cc1NCc1ccco1,IC50,=,nM,129540,2.887596107
CHEMBL193971,CC(C(=O)O)c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1,IC50,=,nM,129000,2.88941029
CHEMBL5175560,CCCCN(CCCC)c1ccc2cc(/C=C/c3cc[n+](C)c4ccccc34)ccc2c1.[I-],Kd,=,nM,127600,2.894149326
CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,IC50,=,nM,124600,2.904481958
CHEMBL68672,CCN(CC)C(=O)/C=C/c1ccc(O)c(O)c1,IC50,=,nM,119160,2.923869505
CHEMBL4850077,CNS(=O)(=O)c1cc(CO)c(NCc2ccco2)cc1Cl,IC50,=,nM,117490,2.929999096
CHEMBL4848555,O=C(O)c1cc(S(=O)(=O)NC2CCCCC2)c(Cl)cc1NCc1ccco1,IC50,=,nM,115520,2.93734282
CHEMBL196070,CC(c1ccc(-c2ccc(C(F)(F)F)cc2)c(F)c1)c1nnn[nH]1,IC50,=,nM,114000,2.943095149
CHEMBL4846727,CN(C)S(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,IC50,=,nM,113130,2.946422213
CHEMBL3742151,CC(=O)O[C@H]1CC(=O)OC(C)(C)[C@@H]2CC[C@]3(C)[C@H](CC=C(C)[C@@]34C[C@]3(OC(C)=C(C)C3=O)C(=O)O4)[C@@]12C,EC50,=,nM,112600,2.948461609
CHEMBL372846,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)c(F)c3)c(F)c2)CC1,IC50,=,nM,111000,2.954677021
