"ID"	Smiles	Standard_Type	Standard_Relation	Standard_Units	Standard_Value	pIC50	RemovedSalts[1]	RemovedSalts[2]	RemovedSalts[3]	RemovedSalts[4]
CHEMBL1276567	O=C(NP(=O)(NN1CCCCC1)NN1CCCCC1)c1ccccc1	Km	=	nM	94963000	1.022445574				
CHEMBL225453	CN(CCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1Cl	IC50	=	nM	60600000	1.217527376				
CHEMBL592185	CC(C)NC(=O)N1c2ccccc2Sc2ccccc21	Ki	=	nM	49600000	1.304518324				
CHEMBL576189	CC1=CC2Cc3nc4oc(C5CCC5)nc4c(N)c3C(C1)C2	IC50	=	nM	29000000	1.537602002				
CHEMBL574948	CC1=CC2Cc3nc4[nH]ncc4c(N)c3C(C1)C2	IC50	=	nM	18620000	1.730020323				
CHEMBL2238007	Nc1c2c(nc3nc(-c4ccccc4)cc(C(F)(F)F)c13)-c1ccccc1CC2	IC50	=	nM	15120000	1.820448209				
CHEMBL3950063	COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccc(O)c4ncccc34)CC1)C2	IC50	=	nM	11587773.56	1.936				
CHEMBL134914	CCOCC[N+](C)(C)C	IC50	=	nM	8128305.16	2.09				
CHEMBL335329	O=C1CCN(Cc2ccccc2)C/C1=C\c1ccn(C(=O)c2ccccc2)c1	IC50	=	nM	6780000	2.168770306				
CHEMBL1834077	c1ccc(C(Nc2ccnc(N3CCNCC3)n2)c2ccccc2)cc1	IC50	=	nM	6520000	2.185752404				
CHEMBL610219	COc1ccc2c(c1)C/C(=C\c1ccc(CN(C)Cc3ccccc3)cc1)C2=O	IC50	=	nM	6364000	2.196269829				
CHEMBL1088018	[Br-].[Br-].c1cc[n+](CCCC[n+]2ccccc2)cc1	IC50	=	nM	6000000	2.22184875	Br-	Br-		
CHEMBL136611	CN[C@@H](C)C1=CC[C@H]2[C@@H]3CC=C4C[C@@H](OC)CC[C@]4(C)[C@H]3CC[C@]12C	IC50	=	nM	5917000	2.227898431				
CHEMBL612098	CCN(CC)C(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)C1N2C	IC50	=	nM	5840000	2.233587153				
CHEMBL224555	CN(CCCCCCCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1	IC50	=	nM	5730000	2.241845378				
CHEMBL224347	CN(CCCCCCCCCCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1ccccc1	IC50	=	nM	5580000	2.253365801				
CHEMBL3335075	C[n+]1ccc(/C=N/O)cc1.[Br-]	Kd	=	nM	5500000	2.259637311	Br-			
CHEMBL3310699	COC(=O)C(CC1=NO[C@@H]2CCC[C@@H]2[C@H]1c1ccccc1)C(=O)OC	IC50	=	nM	5490000	2.260427656				
CHEMBL3360486	COc1cc2c(cc1OC)C(c1ccccc1)N(CCCCCn1ccnc1/C=N/O)CC2	Kd	=	nM	5390000	2.268411235				
CHEMBL291233	O/N=C/c1cc[n+](COC[n+]2ccc(/C=N/O)cc2)cc1.[Cl-].[Cl-]	Kd	=	nM	5305000	2.275314612	Cl-	Cl-		
CHEMBL1669482	[Br-].[Br-].c1ccc2c[n+](CCCC[n+]3ccc4ccccc4c3)ccc2c1	IC50	=	nM	5180000	2.28567024	Br-	Br-		
CHEMBL3581572	CCC(C)C(=O)[C@]12C(=O)[C@]3(CC=C(C)C)C[C@H](CC=C(C)C)[C@@]1(C)CC[C@@H](C(C)(C)O)OC2=C(CC=C(C)C)C3=O	IC50	=	nM	5149000	2.288277108				
CHEMBL1088155	[Br-].[Br-].c1cc[n+](CCCCCCC[n+]2ccccc2)cc1	IC50	=	nM	5116818.36	2.291	Br-	Br-		
CHEMBL2011402	COc1ccc([C@H]2Oc3cc(O)c(C/C=C(\C)CCC=C(C)C)c(O)c3C(=O)[C@@H]2O)cc1O	IC50	=	nM	4980000	2.302770657				
CHEMBL8996	O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21	IC50	=	nM	4600000	2.337242168				
CHEMBL543215	C#CCNC1CCc2ccc(OC(=O)N(C)C3CCCCC3)cc21.Cl	IC50	=	nM	4275000	2.369063881	HCl			
CHEMBL148771	C#CCC1CCCc2ccc(OC(=O)N(C)CC)cc21	IC50	=	nM	4177000	2.379135525				
CHEMBL289890	COC[n+]1ccn(C)c1/C=N/O.[Cl-]	IC50	=	nM	4148000	2.382161252	Cl-			
CHEMBL342370	CC(=O)Nc1ccc([C@@]2(O)C[N+](C)(C)CCO2)cc1	IC50	=	nM	3828247.43	2.417				
CHEMBL574747	CC1=CC2Cc3nc4oc(C5CC5)nc4c(N)c3C(C1)C2	IC50	=	nM	3706807.22	2.431				
CHEMBL3597054	CCOC(=O)C1=C(Nc2ccc(C)cc2)C[C@@H](c2ccccc2)N(c2ccc(C)cc2)[C@@H]1c1ccccc1	IC50	=	nM	3269000	2.485585079				
CHEMBL3597006	COC(=O)C1=C(Nc2ccc(Cl)cc2)C[C@@H](c2ccc(C)cc2)N(c2ccc(Cl)cc2)[C@@H]1c1ccc(C)cc1	IC50	=	nM	3200000	2.494850022				
CHEMBL3597065	CCOC(=O)C1=C(Nc2ccc(Cl)cc2)C[C@@H](c2ccc(OC)cc2)N(c2ccc(Cl)cc2)[C@@H]1c1ccc(OC)cc1	IC50	=	nM	3183000	2.497163361				
CHEMBL3597061	COC(=O)C1=C(Nc2ccccc2)C[C@@H](c2ccc(Cl)cc2)N(c2ccccc2)[C@@H]1c1ccc(Cl)cc1	IC50	=	nM	3178000	2.497846107				
CHEMBL3597059	COC(=O)C1=C(Nc2ccc(Cl)cc2)C[C@@H](c2ccc(F)cc2)N(c2ccc(Cl)cc2)[C@@H]1c1ccc(F)cc1	IC50	=	nM	3035000	2.517841305				
CHEMBL3597000	CCOC(=O)C1=C(Nc2ccccc2)C[C@@H](c2ccccc2)N(c2ccccc2)[C@@H]1c1ccccc1	IC50	=	nM	3013006.02	2.521000001				
CHEMBL3819113	COc1cccc(CN2CCC(/C=C3\Cc4ccc(OC)cc4C3=O)CC2)c1	IC50	=	nM	2950000	2.530177984				
CHEMBL3393673	c1ccc(COC[C@H]2NC[C@H](OCc3ccccc3)[C@@H](OCc3ccccc3)[C@@H]2OCc2ccccc2)cc1	IC50	=	nM	2917427.01	2.535000001				
CHEMBL3393675	O=C1N[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1	IC50	=	nM	2800000	2.552841969				
CHEMBL3339006	CCCCN(CCCC)CCCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1	IC50	=	nM	2790000	2.554395797				
CHEMBL3335070	COc1cccc(CC2CCN(CCCCOc3ccc4c(c3)oc(=O)c3ccccc34)CC2)c1	IC50	=	nM	2671000	2.573326112				
CHEMBL491527	C#CCN(C)Cc1ccc(C(=O)c2ccc(OC)c(OC)c2)cc1	IC50	=	nM	2570000	2.590066877				
CHEMBL523311	CCN(CC)Cc1ccc(C(=O)c2ccc(OC)c(OC)c2)cc1	IC50	=	nM	2517000	2.599116784				
CHEMBL497686	Cc1ccc(C2CC(c3cccc(O)c3)=Nc3ccccc3S2)cc1	IC50	=	nM	2505000	2.60119227				
CHEMBL508510	Oc1cccc(C2=Nc3ccccc3SC(c3cccc(O)c3)C2)c1	IC50	=	nM	2490000	2.603800653				
CHEMBL496127	N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCC(=O)Nc1c2c(nc3ccccc13)CCCC2	Ki	=	nM	2480000	2.605548319				
CHEMBL3934564	COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccc4cccc(O)c4n3)CC1)C2	IC50	=	nM	2476100	2.60623182				
CHEMBL1912061	COc1cc2nc(Cl)nc(NCCCNC(=O)CCCCC3CCSS3)c2cc1OC	IC50	=	nM	2430000	2.614393726				
CHEMBL3597005	COC(=O)C1=C(Nc2ccc(Br)cc2)C[C@@H](c2ccc(C)cc2)N(c2ccc(Br)cc2)[C@@H]1c1ccc(C)cc1	IC50	=	nM	2400000	2.619788758				
CHEMBL4064154	COc1cc2c(cc1OC)CN(CC1CCN(Cc3cc(F)cc(/C=N/O)c3O)CC1)CC2	Kd	=	nM	2387811.28	2.622000001				
CHEMBL4090498	C[n+]1c2ccccc2c(-c2ccccc2)c2ccccc21.F[B-](F)(F)F	IC50	=	nM	2360000	2.627087997	F[B-](F)(F)F			
CHEMBL4167958	COc1ccc2c3c1O[C@H]1C[C@H](O)CC[C@@]31CCN(C)C2	IC50	=	nM	2303000	2.637706062				
CHEMBL1916768	Nc1c2c(nc3c1cc(-c1ccccc1)n3-c1ccccc1)CCCC2	IC50	=	nM	2290000	2.640164518				
CHEMBL3785803	Cc1ccccc1C1N(C)Cc2cc(O)ccc2N1C	IC50	=	nM	2270000	2.643974143				
CHEMBL370561	COc1cc2cc[n+](C)c3c2c(c1OC)C(Br)OC3=O	IC50	=	nM	2250000	2.647817482				
CHEMBL544635	C#CCNC1CCc2cccc(OC(=O)N(C)CC)c21.Cl	IC50	=	nM	2169000	2.663740448	HCl			
